Villager,Birthday,Address,Lives With,Loves   (+80),Likes (+45),Neutral (+20),Dislikes (-20),Hates   (-40)
Abigail,Fall 13,Pierre's General Store,Pierre+Caroline,Amethyst+Banana Pudding+Blackberry Cobbler,Ancient Sword+Basilisk Paw+Bone Flute,All Milk+All Mushrooms (except Red)+Daffodil,"All Eggs+All Fruit (except Fruit Tree Fruit)+All Vegetables (except Hops, Pumpkin, Tea Leaves, & Wheat)",Clay+Holly
Alex,Summer 13,1 River Road,George+Evelyn,"Complete Breakfast+Jack Be Nimble, Jack Be Thick+Salmon Dinner",All Eggs (except Void Egg)+Dinosaur Egg+Field Snack,All Fruit (except Fruit Tree Fruit & Salmonberry)+All Milk+All Mushrooms (except Red),"All Books (except Jack Be Nimble, Jack Be Thick)+Salmonberry+Wild Horseradish",Holly+Quartz
Elliott,Fall 05,Elliott's Cabin,,Crab Cakes+Duck Feather+Lobster,All Books+All Fruit (except Pomegranate & Salmonberry)+Octopus,"All Eggs (except Void Egg)+All Fish (except Carp, Lobster, Octopus, Sea Cucumber, Snails & Squid)+Rainbow Shell",All Milk+All Mushrooms (except Red)+Daffodil,Amaranth+Quartz+Salmonberry
Emily,Spring 27,2 Willow Lane,Haley,Amethyst+Aquamarine+Cloth,Daffodil+Quartz,All Eggs (except Void Egg)+All Fruit (except Fruit Tree Fruit & Salmonberry)+All Milk,Fried Eel+Ice Cream+Rice Pudding,Fish Taco+Holly+Maki Roll
Haley,Spring 14,2 Willow Lane,Emily,Coconut+Fruit Salad+Pink Cake,Daffodil,,All Eggs+All Fruit (except Coconut)+All Milk,All Fish+Clay+Prismatic Shard
Harvey,Winter 14,Harvey's Clinic,,Coffee+Pickles+Super Meal,All Fruit (except Salmonberry & Spice Berry)+All Mushrooms (except Red)+Daffodil,All Eggs (except Duck Egg & Void Egg)+Large Milk+Milk,Blueberry Tart+Bread+Cheese,Coral+Nautilus Shell+Rainbow Shell
Leah,Winter 23,Leah's Cottage,,Goat Cheese+Poppyseed Muffin+Salad,All Eggs (except Void Egg)+All Fruit+All Milk,,All Foraged Minerals (except Earth Crystal)+All Gems (except Diamond & Prismatic Shard)+Carp Surprise,Bread+Hashbrowns+Pancakes
Maru,Summer 10,Carpenter's Shop,Robin+Demetrius+Sebastian,Battery Pack+Cauliflower+Cheese Cauliflower,All Mushrooms (except Common & Red)+Copper Bar+Iron Bar,"All Eggs (except Void Egg)+All Fruit (except Blackberry, Crystal Fruit, Fruit Tree Fruit, Salmonberry & Strawberry)+All Milk",Blackberry+Common Mushroom+Crystal Fruit,Holly+Honey+Pickles
Penny,Fall 02,Trailer,Pam,All Books+Diamond+Emerald,All Artifacts+All Milk+Dandelion,"All Eggs (except Void Egg)+All Fruit (except Fruit Tree Fruit, Grape, Melon & Salmonberry)+All Mushrooms (except Purple & Red)",Algae Soup+Duck Feather+Pale Broth,Beer+Grape+Holly
Sam,Summer 17,1 Willow Lane,Jodi+Kent+Vincent,Cactus Fruit+Maple Bar+Pizza,All Eggs (except Void Egg)+Joja Cola,"All Fruit (except Cactus Fruit, Fruit Tree Fruit & Salmonberry)+All Milk","All Mushrooms (except Red)+All Vegetables (except Hops, Tea Leaves, & Wheat)+Daffodil",Bone Fragment+Cinder Shard+Coal
Sebastian,Winter 10,Carpenter's Shop,Robin+Demetrius+Maru,Frog Egg+Frozen Tear+Obsidian,Combat Quarterly+Flounder+Monster Compendium,"All Fish (except Carp, Flounder, & Snail)+All Fruit (except Fruit Tree Fruit & Salmonberry)+All Milk",All Flowers (except Poppy)+All Mushrooms (except Red)+Daffodil,"All Artisan Goods (except Coffee, Green Tea, & Oil)+All Eggs (except Void Egg)+Clay"
Shane,Spring 20,Marnie's Ranch,"Marnie, Jas",Beer+Hot Pepper+Pepper Poppers,All Eggs (except Void Egg)+All Fruit (except Hot Pepper),All Milk+Strange Bun,All Mushrooms (except Red)+Daffodil+Dandelion,Pickles+Quartz
